geoAreaCode,geoAreaName,uhc,mort,prop_safe,total_dev
8,Albania,62,0.2,70.02315,59.55652
31,Azerbaijan,64,1.1,73.56433,84.16478
50,Bangladesh,46,11.9,55.44123,283.5302
51,Armenia,67,0.2,86.47635,79.23532
64,Bhutan,59,3.9,36.16311,11.82435
70,Bosnia and Herzegovina,57,0.1,88.84189,50.39158
72,Botswana,60,11.8,83.21967,0.07847
51,Armenia,67,0.2,86.47635,79.23532
112,Belarus,74,0.1,94.52139,2.86514
116,Cambodia,55,6.5,25.84555,162.31461
152,Chile,70,0.2,98.63917,4.76744
156,China,76,0.6,92.32618,90.43284
170,Colombia,76,0.8,73.23343,12.59921
178,Congo,38,38.7,45.35481,9.59305
188,Costa Rica,75,0.9,93.8028,28.29286
191,Croatia,69,0.1,89.95941,9.56217
218,Ecuador,75,0.6,75.06801,47.63924
231,Ethiopia,39,43.7,11.44477,217.58661
268,Georgia,66,0.2,79.99468,68.36506
270,Gambia,46,29.7,68.26881,1.70294
340,Honduras,64,3.6,18.50632,10.39797
356,India,56,18.6,55.99605,659.42957
364,Iran (Islamic Republic of),65,1,91.79529,1.20232
368,Iraq,63,3,58.83333,208.19038
384,Côte d'Ivoire,44,47.2,36.5491,7.7166
398,Kazakhstan,71,0.4,89.51225,0.7329
400,Jordan,70,0.6,93.81834,522.17671
404,Kenya,57,51.2,50.00946,218.1911
408,Democratic People's Republic of Korea,68,1.4,66.62582,1.00464
417,Kyrgyzstan,66,0.8,68.22332,11.90699
418,Lao People's Democratic Republic,48,11.3,16.08187,65.79917
422,Lebanon,68,0.8,47.7,99.54543
458,Malaysia,70,0.4,93.32928,1.71147
484,Mexico,76,1.1,42.87031,13.15824
496,Mongolia,63,1.3,23.72208,10.8058
498,Republic of Moldova,65,0.1,72.87791,18.85216
499,Montenegro,54,0,93.59692,9.93705
504,Morocco,65,1.9,70.26644,156.49688
512,Oman,72,0,90.27504,0.22742
524,Nepal,46,19.8,27.24335,179.41515
548,Vanuatu,56,10.4,44.13033,2.22051
558,Nicaragua,70,2.2,51.60051,30.76196
566,Nigeria,39,68.6,20.13256,154.82118
586,Pakistan,40,19.6,35.31435,263.10451
600,Paraguay,69,1.5,63.89457,8.57495
604,Peru,78,1.3,50.35065,57.39808
608,Philippines,58,4.2,46.65402,70.38319
