goal,target,indicator,seriesCode,seriesDesc,release,geoAreaCode,geoAreaName,parentCode,parentName,type,ISO3,UN_Member,X,Y,ihrCapacityCode,ihrCapacityDesc,unitsCode,unitsDesc,unitmultiplierCode,unitmultiplierDesc,reportingTypeCode,reportingTypeDesc,valueDetails,footnotes,sources,timeDetails,nature,value_2010,value_2011,value_2012,value_2013,value_2014,value_2015,value_2016,value_2017,value_2018,value_latest_year,latest_year,ObjectId
3,3.d,3.d.1,SH_IHR_CAPS,"International Health Regulations (IHR) capacity, by type of IHR capacity (%)",2019.Q2.G.01,850,United States Virgin Islands,29,Caribbean,Country,VIR,0,-64.76960113,17.73297693,IHR03,Surveillance,,,,,,,,,,,,,,,,,,,,,,,6001
3,3.d,3.d.1,SH_IHR_CAPS,"International Health Regulations (IHR) capacity, by type of IHR capacity (%)",2019.Q2.G.01,850,United States Virgin Islands,29,Caribbean,Country,VIR,0,-64.76960113,17.73297693,IHR04,Response,,,,,,,,,,,,,,,,,,,,,,,6002
3,3.d,3.d.1,SH_IHR_CAPS,"International Health Regulations (IHR) capacity, by type of IHR capacity (%)",2019.Q2.G.01,850,United States Virgin Islands,29,Caribbean,Country,VIR,0,-64.76960113,17.73297693,IHR05,Preparedness,,,,,,,,,,,,,,,,,,,,,,,6003
3,3.d,3.d.1,SH_IHR_CAPS,"International Health Regulations (IHR) capacity, by type of IHR capacity (%)",2019.Q2.G.01,850,United States Virgin Islands,29,Caribbean,Country,VIR,0,-64.76960113,17.73297693,SPAR07,"Human resources
",,,,,,,,,,,,,,,,,,,,,,,6004
3,3.d,3.d.1,SH_IHR_CAPS,"International Health Regulations (IHR) capacity, by type of IHR capacity (%)",2019.Q2.G.01,850,United States Virgin Islands,29,Caribbean,Country,VIR,0,-64.76960113,17.73297693,SPAR06,"Surveillance
",,,,,,,,,,,,,,,,,,,,,,,6005
3,3.d,3.d.1,SH_IHR_CAPS,"International Health Regulations (IHR) capacity, by type of IHR capacity (%)",2019.Q2.G.01,850,United States Virgin Islands,29,Caribbean,Country,VIR,0,-64.76960113,17.73297693,SPAR05,"Laboratory
",,,,,,,,,,,,,,,,,,,,,,,6006
3,3.d,3.d.1,SH_IHR_CAPS,"International Health Regulations (IHR) capacity, by type of IHR capacity (%)",2019.Q2.G.01,850,United States Virgin Islands,29,Caribbean,Country,VIR,0,-64.76960113,17.73297693,SPAR04,"Food safety
",,,,,,,,,,,,,,,,,,,,,,,6007
3,3.d,3.d.1,SH_IHR_CAPS,"International Health Regulations (IHR) capacity, by type of IHR capacity (%)",2019.Q2.G.01,850,United States Virgin Islands,29,Caribbean,Country,VIR,0,-64.76960113,17.73297693,SPAR03,"Zoonotic events and the human–animal interface
",,,,,,,,,,,,,,,,,,,,,,,6008
3,3.d,3.d.1,SH_IHR_CAPS,"International Health Regulations (IHR) capacity, by type of IHR capacity (%)",2019.Q2.G.01,850,United States Virgin Islands,29,Caribbean,Country,VIR,0,-64.76960113,17.73297693,SPAR02,"IHR Coordination and National IHR Focal Point Functions
",,,,,,,,,,,,,,,,,,,,,,,6009
3,3.d,3.d.1,SH_IHR_CAPS,"International Health Regulations (IHR) capacity, by type of IHR capacity (%)",2019.Q2.G.01,850,United States Virgin Islands,29,Caribbean,Country,VIR,0,-64.76960113,17.73297693,SPAR01,Legislation and Financing,,,,,,,,,,,,,,,,,,,,,,,6010
3,3.d,3.d.1,SH_IHR_CAPS,"International Health Regulations (IHR) capacity, by type of IHR capacity (%)",2019.Q2.G.01,804,Ukraine,151,Eastern Europe,Country,UKR,1,31.40270802,49.00735945,SPAR09,"Health Service Provision
",PERCENT,Percentage,,,G,Global,,,"Global Health Observatory (GHO), World Health Organisation (WHO)",,NA: Data nature not available,,,,,,,,,53,53,2018,6011
3,3.d,3.d.1,SH_IHR_CAPS,"International Health Regulations (IHR) capacity, by type of IHR capacity (%)",2019.Q2.G.01,850,United States Virgin Islands,29,Caribbean,Country,VIR,0,-64.76960113,17.73297693,SPAR09,"Health Service Provision
",,,,,,,,,,,,,,,,,,,,,,,6012
3,3.d,3.d.1,SH_IHR_CAPS,"International Health Regulations (IHR) capacity, by type of IHR capacity (%)",2019.Q2.G.01,850,United States Virgin Islands,29,Caribbean,Country,VIR,0,-64.76960113,17.73297693,SPAR11,"Points of entry
",,,,,,,,,,,,,,,,,,,,,,,6013
3,3.d,3.d.1,SH_IHR_CAPS,"International Health Regulations (IHR) capacity, by type of IHR capacity (%)",2019.Q2.G.01,850,United States Virgin Islands,29,Caribbean,Country,VIR,0,-64.76960113,17.73297693,SPAR13,"Radiation emergencies
",,,,,,,,,,,,,,,,,,,,,,,6014
3,3.d,3.d.1,SH_IHR_CAPS,"International Health Regulations (IHR) capacity, by type of IHR capacity (%)",2019.Q2.G.01,850,United States Virgin Islands,29,Caribbean,Country,VIR,0,-64.76960113,17.73297693,SPAR12,"Chemical events
",,,,,,,,,,,,,,,,,,,,,,,6015
3,3.d,3.d.1,SH_IHR_CAPS,"International Health Regulations (IHR) capacity, by type of IHR capacity (%)",2019.Q2.G.01,850,United States Virgin Islands,29,Caribbean,Country,VIR,0,-64.76960113,17.73297693,SPAR10,"Risk Communication
",,,,,,,,,,,,,,,,,,,,,,,6016
3,3.d,3.d.1,SH_IHR_CAPS,"International Health Regulations (IHR) capacity, by type of IHR capacity (%)",2019.Q2.G.01,850,United States Virgin Islands,29,Caribbean,Country,VIR,0,-64.76960113,17.73297693,SPAR08,"National Health Emergency Framework
",,,,,,,,,,,,,,,,,,,,,,,6017
3,3.d,3.d.1,SH_IHR_CAPS,"International Health Regulations (IHR) capacity, by type of IHR capacity (%)",2019.Q2.G.01,854,Burkina Faso,11,Western Africa,Country,BFA,1,-1.742843829,12.27491081,IHR10, Zoonotic events,PERCENT,Percentage,,,G,Global,,,"Global Health Observatory (GHO), World Health Organisation (WHO)",,NA: Data nature not available,,,56,100,67,,,78,,78,2017,6018
3,3.d,3.d.1,SH_IHR_CAPS,"International Health Regulations (IHR) capacity, by type of IHR capacity (%)",2019.Q2.G.01,854,Burkina Faso,11,Western Africa,Country,BFA,1,-1.742843829,12.27491081,IHR11,Food safety,PERCENT,Percentage,,,G,Global,,,"Global Health Observatory (GHO), World Health Organisation (WHO)",,NA: Data nature not available,,,27,87,33,,,40,,40,2017,6019
3,3.d,3.d.1,SH_IHR_CAPS,"International Health Regulations (IHR) capacity, by type of IHR capacity (%)",2019.Q2.G.01,854,Burkina Faso,11,Western Africa,Country,BFA,1,-1.742843829,12.27491081,IHR12,Chemical events,PERCENT,Percentage,,,G,Global,,,"Global Health Observatory (GHO), World Health Organisation (WHO)",,NA: Data nature not available,,,8,23,15,,,15,,15,2017,6020
3,3.d,3.d.1,SH_IHR_CAPS,"International Health Regulations (IHR) capacity, by type of IHR capacity (%)",2019.Q2.G.01,854,Burkina Faso,11,Western Africa,Country,BFA,1,-1.742843829,12.27491081,IHR13,Radionuclear emergencies,PERCENT,Percentage,,,G,Global,,,"Global Health Observatory (GHO), World Health Organisation (WHO)",,NA: Data nature not available,,,7,50,15,,,15,,15,2017,6021
