goal,target,indicator,seriesCode,seriesDesc,release,geoAreaCode,geoAreaName,parentCode,parentName,type,ISO3,UN_Member,X,Y,unitsCode,unitsDesc,unitmultiplierCode,unitmultiplierDesc,reportingTypeCode,reportingTypeDesc,valueDetails,footnotes,sources,timeDetails,nature,value_2017,value_latest_year,latest_year,ObjectId
6,6.3,6.3.2,EN_H2O_WBAMBQ,Proportion of bodies of water with good ambient water quality (%),2019.Q2.G.01,4,Afghanistan,34,Southern Asia,Country,AFG,1,66.02688198,33.83160199,,,,,,,,,,,,,,,1
6,6.3,6.3.2,EN_H2O_WBAMBQ,Proportion of bodies of water with good ambient water quality (%),2019.Q2.G.01,8,Albania,39,Southern Europe,Country,ALB,1,20.06660928,41.13897007,,,,,,,,,,,,,,,2
6,6.3,6.3.2,EN_H2O_WBAMBQ,Proportion of bodies of water with good ambient water quality (%),2019.Q2.G.01,10,Antarctica,1,World,Country,ATA,0,21.47585697,-80.40897662,,,,,,,,,,,,,,,3
6,6.3,6.3.2,EN_H2O_WBAMBQ,Proportion of bodies of water with good ambient water quality (%),2019.Q2.G.01,12,Algeria,15,Northern Africa,Country,DZA,1,2.678164227,28.15940032,,,,,,,,,,,,,,,4
6,6.3,6.3.2,EN_H2O_WBAMBQ,Proportion of bodies of water with good ambient water quality (%),2019.Q2.G.01,16,American Samoa,61,Polynesia,Country,ASM,0,-170.7187269,-14.30587306,,,,,,,,,,,,,,,5
6,6.3,6.3.2,EN_H2O_WBAMBQ,Proportion of bodies of water with good ambient water quality (%),2019.Q2.G.01,20,Andorra,39,Southern Europe,Country,AND,1,1.576257417,42.54548611,PERCENT,Percentage,,,G,Global,,,Environment Live,,C: Country data,92.860000,92.860000,2017,6
6,6.3,6.3.2,EN_H2O_WBAMBQ,Proportion of bodies of water with good ambient water quality (%),2019.Q2.G.01,24,Angola,17,Middle Africa,Country,AGO,1,17.57817062,-12.33724746,,,,,,,,,,,,,,,7
6,6.3,6.3.2,EN_H2O_WBAMBQ,Proportion of bodies of water with good ambient water quality (%),2019.Q2.G.01,28,Antigua and Barbuda,29,Caribbean,Country,ATG,1,-61.7999755,17.07761471,,,,,,,,,,,,,,,8
6,6.3,6.3.2,EN_H2O_WBAMBQ,Proportion of bodies of water with good ambient water quality (%),2019.Q2.G.01,31,Azerbaijan,145,Western Asia,Country,AZE,1,50.01064725,40.39229544,,,,,,,,,,,,,,,9
6,6.3,6.3.2,EN_H2O_WBAMBQ,Proportion of bodies of water with good ambient water quality (%),2019.Q2.G.01,32,Argentina,5,South America,Country,ARG,1,-65.14563274,-35.19446255,,,,,,,,,,,,,,,10
6,6.3,6.3.2,EN_H2O_WBAMBQ,Proportion of bodies of water with good ambient water quality (%),2019.Q2.G.01,36,Australia,53,Australia and New Zealand,Country,AUS,1,134.3499412,-25.57717202,,,,,,,,,,,,,,,11
6,6.3,6.3.2,EN_H2O_WBAMBQ,Proportion of bodies of water with good ambient water quality (%),2019.Q2.G.01,40,Austria,155,Western Europe,Country,AUT,1,14.14172472,47.58704857,PERCENT,Percentage,,,G,Global,,,Environment Live,,C: Country data,80.440000,80.440000,2017,12
6,6.3,6.3.2,EN_H2O_WBAMBQ,Proportion of bodies of water with good ambient water quality (%),2019.Q2.G.01,44,Bahamas,29,Caribbean,Country,BHS,1,-78.05111663,24.69546597,,,,,,,,,,,,,,,13
6,6.3,6.3.2,EN_H2O_WBAMBQ,Proportion of bodies of water with good ambient water quality (%),2019.Q2.G.01,48,Bahrain,145,Western Asia,Country,BHR,1,50.5490754,26.04407747,,,,,,,,,,,,,,,14
6,6.3,6.3.2,EN_H2O_WBAMBQ,Proportion of bodies of water with good ambient water quality (%),2019.Q2.G.01,50,Bangladesh,34,Southern Asia,Country,BGD,1,89.17660788,22.86961622,,,,,,,,,,,,,,,15
6,6.3,6.3.2,EN_H2O_WBAMBQ,Proportion of bodies of water with good ambient water quality (%),2019.Q2.G.01,51,Armenia,145,Western Asia,Country,ARM,1,44.93839317,40.29499741,,,,,,,,,,,,,,,16
